[ -0.95 0.95 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00;
1.00 -1.95 0.95 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00;
0.00 2.00 -2.95 0.95 0.00 0.00 0.00 0.00 0.00 0.00 0.00;
0.00 0.00 3.00 -3.95 0.95 0.00 0.00 0.00 0.00 0.00 0.00;
0.00 0.00 0.00 3.00 -3.95 0.95 0.00 0.00 0.00 0.00 0.00;
0.00 0.00 0.00 0.00 2.00 -2.95 0.95 0.00 0.00 0.00 0.00;
0.00 0.00 0.00 0.00 0.00 1.00 -1.95 0.95 0.00 0.00 0.00;
0.00 0.00 0.00 0.00 0.00 0.00 1.00 -1.95 0.95 0.00 0.00;
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 -1.95 0.95 0.00;
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 -1.95 0.95;
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 -1.00;
1 1 1 1 1 1 1 1 1 1 1 ; ]
